method,combo,anchor,alpha,beta,gamma,d_src_mat,d_tgt_mat,inter_mat,path,d_int,inter_int
A,liquid_rock_impact,9c95dfbea5d2,0.6,0.3,0.0,2.263317823410034,11.558165550231934,0.16375361182740367,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.3_g0.0_anchor0.wav,2.0323596000671387,
A,liquid_rock_impact,9c95dfbea5d2,0.6,0.3,0.5,4.609024524688721,9.493696212768555,0.32681810908445397,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.3_g0.5_anchor0.wav,4.7640700340271,
A,liquid_rock_impact,9c95dfbea5d2,0.6,0.3,1.0,10.05890941619873,7.448015213012695,0.5745674713673141,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.3_g1.0_anchor0.wav,10.369577407836914,
A,liquid_rock_impact,9c95dfbea5d2,0.6,0.6,0.0,2.263317823410034,11.558165550231934,0.16375361182740367,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.6_g0.0_anchor0.wav,2.0323596000671387,
A,liquid_rock_impact,9c95dfbea5d2,0.6,0.6,0.5,4.609024524688721,9.493696212768555,0.32681810908445397,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.6_g0.5_anchor0.wav,4.7640700340271,
A,liquid_rock_impact,9c95dfbea5d2,0.6,0.6,1.0,10.05890941619873,7.448015213012695,0.5745674713673141,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.6_g1.0_anchor0.wav,10.369577407836914,
A,liquid_rock_impact,9c95dfbea5d2,0.6,0.9,0.0,2.263317823410034,11.558165550231934,0.16375361182740367,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.9_g0.0_anchor0.wav,2.0323596000671387,
A,liquid_rock_impact,9c95dfbea5d2,0.6,0.9,0.5,4.609024524688721,9.493696212768555,0.32681810908445397,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.9_g0.5_anchor0.wav,4.7640700340271,
A,liquid_rock_impact,9c95dfbea5d2,0.6,0.9,1.0,10.05890941619873,7.448015213012695,0.5745674713673141,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.9_g1.0_anchor0.wav,10.369577407836914,
A,liquid_rock_impact,9c95dfbea5d2,0.9,0.3,0.0,7.173578262329102,8.18940544128418,0.46693913111259633,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.3_g0.0_anchor0.wav,7.421901702880859,
A,liquid_rock_impact,9c95dfbea5d2,0.9,0.3,0.5,10.382332801818848,7.349671840667725,0.5855137651135541,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.3_g0.5_anchor0.wav,10.700257301330566,
A,liquid_rock_impact,9c95dfbea5d2,0.9,0.3,1.0,13.631954193115234,7.794453144073486,0.6362221149795246,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.3_g1.0_anchor0.wav,14.004364013671875,
A,liquid_rock_impact,9c95dfbea5d2,0.9,0.6,0.0,7.173578262329102,8.18940544128418,0.46693913111259633,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.6_g0.0_anchor0.wav,7.421901702880859,
A,liquid_rock_impact,9c95dfbea5d2,0.9,0.6,0.5,10.382332801818848,7.349671840667725,0.5855137651135541,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.6_g0.5_anchor0.wav,10.700257301330566,
A,liquid_rock_impact,9c95dfbea5d2,0.9,0.6,1.0,13.631954193115234,7.794453144073486,0.6362221149795246,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.6_g1.0_anchor0.wav,14.004364013671875,
A,liquid_rock_impact,9c95dfbea5d2,0.9,0.9,0.0,7.173578262329102,8.18940544128418,0.46693913111259633,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.9_g0.0_anchor0.wav,7.421901702880859,
A,liquid_rock_impact,9c95dfbea5d2,0.9,0.9,0.5,10.382332801818848,7.349671840667725,0.5855137651135541,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.9_g0.5_anchor0.wav,10.700257301330566,
A,liquid_rock_impact,9c95dfbea5d2,0.9,0.9,1.0,13.631954193115234,7.794453144073486,0.6362221149795246,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.9_g1.0_anchor0.wav,14.004364013671875,
baseline_sum,liquid_rock_impact,9fb049ed22d9,,,,82.85835266113281,79.21745300292969,0.5112320887200377,/home/atorsaev/projects/tecniacustica-prospect/outputs/baseline_sum/full/liquid_rock_impact_anchor1.wav,82.81456756591797,
baseline_interp,liquid_rock_impact,9fb049ed22d9,,,,2.0716607570648193,13.22733211517334,0.1354115773652449,/home/atorsaev/projects/tecniacustica-prospect/outputs/baseline_interp/full/liquid_rock_impact_anchor1.wav,1.626302719116211,
A,liquid_rock_impact,9fb049ed22d9,0.3,0.3,0.0,1.632466197013855,12.721957206726074,0.11372565452366436,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.3_g0.0_anchor1.wav,1.1885663270950317,
A,liquid_rock_impact,9fb049ed22d9,0.3,0.3,0.5,2.1800122261047363,11.813220977783203,0.1557904591587341,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.3_g0.5_anchor1.wav,1.9282419681549072,
A,liquid_rock_impact,9fb049ed22d9,0.3,0.3,1.0,5.8047895431518555,8.996618270874023,0.3921782046474683,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.3_g1.0_anchor1.wav,5.986374378204346,
A,liquid_rock_impact,9fb049ed22d9,0.3,0.6,0.0,1.632466197013855,12.721957206726074,0.11372565452366436,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.6_g0.0_anchor1.wav,1.1885663270950317,
A,liquid_rock_impact,9fb049ed22d9,0.3,0.6,0.5,2.1800122261047363,11.813220977783203,0.1557904591587341,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.6_g0.5_anchor1.wav,1.9282419681549072,
A,liquid_rock_impact,9fb049ed22d9,0.3,0.6,1.0,5.8047895431518555,8.996618270874023,0.3921782046474683,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.6_g1.0_anchor1.wav,5.986374378204346,
A,liquid_rock_impact,9fb049ed22d9,0.3,0.9,0.0,1.632466197013855,12.721957206726074,0.11372565452366436,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.9_g0.0_anchor1.wav,1.1885663270950317,
A,liquid_rock_impact,9fb049ed22d9,0.3,0.9,0.5,2.1800122261047363,11.813220977783203,0.1557904591587341,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.9_g0.5_anchor1.wav,1.9282419681549072,
A,liquid_rock_impact,9fb049ed22d9,0.3,0.9,1.0,5.8047895431518555,8.996618270874023,0.3921782046474683,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.3_b0.9_g1.0_anchor1.wav,5.986374378204346,
A,liquid_rock_impact,9fb049ed22d9,0.6,0.3,0.0,2.3415729999542236,11.672260284423828,0.16709011390890505,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.3_g0.0_anchor1.wav,2.129183292388916,
A,liquid_rock_impact,9fb049ed22d9,0.6,0.3,0.5,6.75596284866333,8.42133617401123,0.4451360441752468,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.3_g0.5_anchor1.wav,7.000380516052246,
A,liquid_rock_impact,9fb049ed22d9,0.6,0.3,1.0,10.080535888671875,7.390202522277832,0.5769954108967111,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.3_g1.0_anchor1.wav,10.40211009979248,
A,liquid_rock_impact,9fb049ed22d9,0.6,0.6,0.0,2.3415729999542236,11.672260284423828,0.16709011390890505,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.6_g0.0_anchor1.wav,2.129183292388916,
A,liquid_rock_impact,9fb049ed22d9,0.6,0.6,0.5,6.75596284866333,8.42133617401123,0.4451360441752468,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.6_g0.5_anchor1.wav,7.000380516052246,
A,liquid_rock_impact,9fb049ed22d9,0.6,0.6,1.0,10.080535888671875,7.390202522277832,0.5769954108967111,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.6_g1.0_anchor1.wav,10.40211009979248,
A,liquid_rock_impact,9fb049ed22d9,0.6,0.9,0.0,2.3415729999542236,11.672260284423828,0.16709011390890505,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.9_g0.0_anchor1.wav,2.129183292388916,
A,liquid_rock_impact,9fb049ed22d9,0.6,0.9,0.5,6.75596284866333,8.42133617401123,0.4451360441752468,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.9_g0.5_anchor1.wav,7.000380516052246,
A,liquid_rock_impact,9fb049ed22d9,0.6,0.9,1.0,10.080535888671875,7.390202522277832,0.5769954108967111,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.6_b0.9_g1.0_anchor1.wav,10.40211009979248,
A,liquid_rock_impact,9fb049ed22d9,0.9,0.3,0.0,7.306829452514648,8.130945205688477,0.4733084666551167,/home/atorsaev/projects/tecniacustica-prospect/outputs/method_a/full/liquid_rock_impact_a0.9_b0.3_g0.0_anchor1.wav,7.572726249694824,
